Partido,Hogares,Poblacion
Almirante Brown,156918,552902
Avellaneda,113142,342677
Berazategui,93164,324244
Esteban Echeverría,85952,300959
Ezeiza,44487,163722
Florencio Varela,113135,426005
General San Martín,133202,414196
Hurlingham,55122,181241
Ituzaingó,51444,167824
José C. Paz,71722,265981
La Matanza,484909,1775816
Lanús,149594,459263
Lomas de Zamora,188844,616279
Malvinas Argentinas,89338,322375
Merlo,147716,528494
Moreno,124016,452505
Morón,106902,321109
Quilmes,177110,582943
San Fernando,49384,163240
San Isidro,97213,292878
San Miguel,80627,276190
Tigre,49384,376381
Tres de febrero,112588,340071
Vicente López,99286,269420
